/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:11<00:00,  3.85s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.54s/it]
  0%|                                                                                                                                                                                                 | 0/16 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:339: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:16<00:00,  4.76s/it]
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0] Graph break from `Tensor.item()`, consider setting:
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0]     torch._dynamo.config.capture_scalar_outputs = True
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0] or:
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0]     env TORCHDYNAMO_CAPTURE_SCALAR_OUTPUTS=1
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0] to include these operations in the captured graph.
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0]
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0] Graph break: from user code at:
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0]   File "/pfs/rl-train/wenhaoli/spotlight/train.py", line 85, in compute_attn_supervise_loss
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0]     sparsity = is_top.sum(-1).float().mean().item() / is_top.shape[-1] / 2
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0]
[rank0]:W1223 02:14:09.305000 2156394 site-packages/torch/_dynamo/variables/tensor.py:1047] [0/0]
layer:     0 | step:     0 | loss: 8.068 | thresh: 0.000 | sparse: 0.005 | tacc: 0.533 | oacc: 0.464
layer:     0 | step:     1 | loss: 8.071 | thresh: 0.000 | sparse: 0.005 | tacc: 0.537 | oacc: 0.465
layer:     0 | step:     2 | loss: 8.089 | thresh: 0.000 | sparse: 0.005 | tacc: 0.537 | oacc: 0.466
layer:     0 | step:     3 | loss: 8.058 | thresh: 0.000 | sparse: 0.005 | tacc: 0.540 | oacc: 0.467
layer:     0 | step:     4 | loss: 8.041 | thresh: 0.000 | sparse: 0.005 | tacc: 0.539 | oacc: 0.466
layer:     0 | step:     5 | loss: 8.103 | thresh: 0.000 | sparse: 0.005 | tacc: 0.534 | oacc: 0.464
layer:     0 | step:     6 | loss: 8.006 | thresh: 0.000 | sparse: 0.005 | tacc: 0.535 | oacc: 0.463
layer:     0 | step:     7 | loss: 8.059 | thresh: 0.000 | sparse: 0.005 | tacc: 0.542 | oacc: 0.468
[rank0]:W1223 02:14:49.250000 2156394 site-packages/torch/_dynamo/convert_frame.py:1016] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W1223 02:14:49.250000 2156394 site-packages/torch/_dynamo/convert_frame.py:1016] [1/8]    function: 'torch_dynamo_resume_in_compute_attn_supervise_loss_at_85' (/pfs/rl-train/wenhaoli/spotlight/train.py:85)
[rank0]:W1223 02:14:49.250000 2156394 site-packages/torch/_dynamo/convert_frame.py:1016] [1/8]    last reason: 1/7: ___as_tensor(___stack0).item() == 449.401123046875  # (unknown source ___as_tensor(___stack0).item(), please file a bug)
[rank0]:W1223 02:14:49.250000 2156394 site-packages/torch/_dynamo/convert_frame.py:1016] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W1223 02:14:49.250000 2156394 site-packages/torch/_dynamo/convert_frame.py:1016] [1/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html.
layer:     0 | step:     8 | loss: 8.047 | thresh: 0.000 | sparse: 0.005 | tacc: 0.539 | oacc: 0.466
layer:     0 | step:     9 | loss: 8.028 | thresh: 0.000 | sparse: 0.005 | tacc: 0.536 | oacc: 0.464
layer:     0 | step:    10 | loss: 8.075 | thresh: 0.000 | sparse: 0.006 | tacc: 0.538 | oacc: 0.467
layer:     0 | step:    11 | loss: 8.026 | thresh: 0.000 | sparse: 0.006 | tacc: 0.538 | oacc: 0.465
layer:     0 | step:    12 | loss: 7.974 | thresh: 0.000 | sparse: 0.006 | tacc: 0.545 | oacc: 0.470
layer:     0 | step:    13 | loss: 8.036 | thresh: 0.000 | sparse: 0.005 | tacc: 0.535 | oacc: 0.463
layer:     0 | step:    14 | loss: 8.054 | thresh: -0.000 | sparse: 0.005 | tacc: 0.537 | oacc: 0.465
layer:     0 | step:    15 | loss: 8.080 | thresh: -0.001 | sparse: 0.005 | tacc: 0.536 | oacc: 0.462
layer:     0 | step:    16 | loss: 8.067 | thresh: -0.001 | sparse: 0.005 | tacc: 0.537 | oacc: 0.466
